Altium Designer Pick and Place Locations
C:\Users\DG Maintenance\Documents\optirev2\Project Outputs for Optical Compressor V2\Pick Place\Pick Place for Optical Compressor V2.csv

========================================================================================================================
File Design Information:

Date:       01/02/23
Time:       16:12
Revision:   3c57b94cf86fb987339b3333d6349569a625ea91
Variant:    No variations
Units used: mm

"Center-X(mm)","Center-Y(mm)","Comment","Description","Designator","Footprint","Layer","Rotation"
"41.8874","10.9000","Cap 100nF 0603 X7R","Cap 100nF 0603 X7R 50V +-10%","C38","0603-CAP","BottomLayer","0"
"25.3000","58.5000","NSL-32SR2S","Optoisolator Photocell Optocoupler 1 Channel","OC1","NSL","TopLayer","0"
"15.9000","24.1780","SML4742-E3/5A","12V Zener","D1","DO-214AC","BottomLayer","90"
"30.2000","27.7000","Var AVRF101U6R8KT242","Varistor 0402 28VDC 6.8pF 10% Audio Line","V2","0402_COMPONENT","TopLayer","180"
"16.7000","36.2000","Var AVRF101U6R8KT242","Varistor 0402 28VDC 6.8pF 10% Audio Line","V1","0402_COMPONENT","TopLayer","0"
"18.7000","24.0000","Res 10R 5% 0805","Resistor 10R +-5% 0805 Thick film 0.125W +-200ppm/°C","R4","0805-RES","BottomLayer","270"
"30.2000","26.1000","MAF1005GAD352A","FERRITE BEAD, AUDIO, 500 OHM 0402 Low THD+N","L4","0402_COMPONENT","TopLayer","0"
"32.8000","14.7000","Ferrite BLM21SP102SN1","Ferrite Beads Multi-Layer High Current 1KOhm 25% 100MHz 1.6A 0.12Ohm DCR","L3","0805-IND","TopLayer","180"
"9.8250","24.8000","Cap pol 10µF 35V","Cap Aluminum 10uF 35V ±20% (5x5.4mm) SMD 2000h 85°C","C1","E-CAP,_SMT,_diameter_5mm,_height_5.4mm","BottomLayer","180"
"14.9000","43.7000","Cap pol 10µF 35V","Cap Aluminum 10uF 35V ±20% (5x5.4mm) SMD 2000h 85°C","C19","E-CAP,_SMT,_diameter_5mm,_height_5.4mm","TopLayer","0"
"16.8000","91.3000","Res 20k 1% 0603","Resistor 20k +-1% 0603 Thin film 0.1W +-50ppm/°C","R40","0603-RES","BottomLayer","270"
"16.2000","86.3000","Res 10k 1% 0603","Resistor 10k +-1% 0603 Thick film 0.1W +- 100ppm/°C","R39","0603-RES","BottomLayer","270"
"6.8000","59.0000","Pot100kB 9mm D-shaft with switch","LJV 9mm pot D-shaft with switch","VR4","LJV_9mm_pot_with_switch","TopLayer","0"
"6.8003","86.2503","Pot100kA 9mm","LJV 9mm pot","VR3","LJV_9mm_pot","TopLayer","0"
"38.2003","86.2503","Pot100kC 9mm D-Shaft","LJV 9mm pot","VR2","LJV_9mm_pot","TopLayer","0"
"38.2003","55.2503","Pot100kA 9mm","LJV 9mm pot","VR1","LJV_9mm_pot","TopLayer","0"
"38.9000","9.5000","LM2611BMF/NOPB","1.4MHz Cuk Converter, 5-pin SOT-23, Pb-Free","U9","DBV0005A_M","BottomLayer","90"
"6.9000","9.2000","CD4013BME","IC D-TYPE POS TRG DUAL 14SOIC","U8","SOIC14-127P600X175-14N","BottomLayer","270"
"22.1600","77.6100","CD4013BME","IC D-TYPE POS TRG DUAL 14SOIC","U7","SOIC14-127P600X175-14N","TopLayer","0"
"23.3000","87.5000","MC33179D","Operational Amplifiers - Op Amps 2-18V Quad Low Power Industrial Temp SOIC14","U6","SOIC14-127P600X175-14N","BottomLayer","90"
"16.1000","51.9000","TL072CD","Operational Amplifiers - Op Amps Dual Low Noise JFET SOIC8","U5","SOIC8-127P600X175-8N","TopLayer","270"
"4.3000","45.1000","TL072CD","Operational Amplifiers - Op Amps Dual Low Noise JFET SOIC8","U4","SOIC8-127P600X175-8N","TopLayer","180"
"22.2000","42.4000","MC33178D","IC OPAMP GP 5MHZ 8SOIC","U3","SOIC8-127P600X175-8N","BottomLayer","270"
"23.3000","21.8000","TL072CD","Operational Amplifiers - Op Amps Dual Low Noise JFET SOIC8","U2","SOIC8-127P600X175-8N","TopLayer","180"
"6.1000","38.0000","TL072CD","Operational Amplifiers - Op Amps Dual Low Noise JFET SOIC8","U1","SOIC8-127P600X175-8N","TopLayer","180"
"22.3000","8.6000","Tact footswitch, SPST","Tactile Switches 12x12x4.3mm 130gf","S1","Tact-SKHCBEA010","TopLayer","0"
"20.5000","51.7000","Res 20k 1% 0603","Resistor 20k +-1% 0603 Thin film 0.1W +-50ppm/°C","R53","0603-RES","TopLayer","0"
"19.8000","49.2126","Res 10k 1% 0603","Resistor 10k +-1% 0603 Thick film 0.1W +- 100ppm/°C","R52","0603-RES","TopLayer","90"
"20.6000","17.1000","Res 6.81k 1% 0603","Resistor 6.81k +-1% 0603 Thin film 0.1W +-50ppm/°C","R51","0603-RES","TopLayer","270"
"20.5000","25.9000","Res 10k 1% 0603","Resistor 10k +-1% 0603 Thick film 0.1W +- 100ppm/°C","R50","0603-RES","TopLayer","270"
"16.7000","57.5000","Res 47k 1% 0603","Resistor 47k +-1% 0603 Thin film 0.1W +-50ppm/°C","R49","0603-RES","TopLayer","90"
